127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/theme/twilight.css, HTTP/1.1, 200, 0.000999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.002998
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002998
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.002998
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.004001
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/css/web2py-codemirror.css, HTTP/1.1, 200, 0.003001
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.003001
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/keymap/sublime.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.002999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.002999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.002998
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.002001
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002001
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.003999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.003998
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.003997
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002998
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.002998
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.002999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002999
